date,plant_energy,humidity,temperature,month,predicted_plant_energy,saving
2024-10-07,53637.0,91,299.85,10,54910.43798029712,[2.32045204]
2024-10-08,52558.0,88,300.21,10,54910.43798029712,[4.28660022]
2024-10-09,50754.0,92,299.68,10,54910.43798029712,[7.5738396]
2024-10-10,51312.0,92,300.22,10,54910.43798029712,[6.55705492]
2024-10-11,51956.0,95,299.79,10,54750.122024495955,[5.09143458]
2024-10-12,51162.0,93,300.16,10,54910.43798029712,[6.83038413]
2024-10-13,48860.0,94,299.86,10,54910.43798029712,[11.02507652]
2024-10-14,49526.0,94,300.01,10,54910.43798029712,[9.8114948]
2024-10-15,52499.0,95,300.58,10,55444.945363777566,[5.36808627]
2024-10-16,50857.0,91,301.1,10,56990.22738315862,[11.17593494]
2024-10-17,50754.0,94,299.49,10,54910.43798029712,[7.5738396]
2024-10-18,52482.0,95,299.76,10,54750.122024495955,[4.13296012]
2024-10-19,49551.0,93,298.89,10,53965.07963238294,[8.04331288]
2024-10-20,49859.5,96,299.05,10,53965.07963238294,[7.48116579]
2024-10-21,52488.5,97,299.18,10,53725.703501196804,[2.25442577]
2024-10-22,49824.5,94,299.6,10,54910.43798029712,[9.26756966]
2024-10-23,47178.5,95,299.25,10,54750.122024495955,[13.79697015]
2024-10-24,51080.0,95,299.63,10,54750.122024495955,[6.68767721]
2024-10-25,52708.5,93,299.65,10,54910.43798029712,[4.0123599]
2024-10-26,51499.0,86,300.36,10,55486.69374585942,[7.26635474]
2024-10-27,52372.5,82,301.3,10,57881.69062624213,[10.03881842]
2024-10-28,53475.0,91,299.55,10,54910.43798029712,[2.6156476]
2024-10-29,53714.0,95,299.61,10,54750.122024495955,[1.88801615]
2024-10-30,52365.0,94,299.39,10,54910.43798029712,[4.63828381]
2024-10-31,52615.0,92,299.5,10,54910.43798029712,[4.18273511]
2024-11-01,53098.0,88,300.31,11,54430.19228188371,[2.42751383]
2024-11-02,45950.5,94,299.79,11,53211.40400027857,[13.23078139]
2024-11-03,44133.5,82,298.89,11,48332.49813995892,[7.65139251]
2024-11-04,50837.0,85,299.3,11,53211.40400027857,[4.32662658]
2024-11-05,51043.0,85,299.35,11,53211.40400027857,[3.95125446]
2024-11-06,48916.0,87,299.0,11,52295.29684786526,[6.15773709]
2024-11-07,47838.0,84,299.35,11,52085.110336831705,[7.7390623]
2024-11-08,47469.0,82,299.33,11,49626.247566339065,[3.93092526]
2024-11-09,45432.0,85,299.23,11,53211.40400027857,[14.17558939]
2024-11-10,43135.0,85,298.03,11,47255.32714135475,[7.50803862]
2024-11-11,46627.0,79,298.21,11,46359.51462712586,[-0.48741045]
2024-11-12,50113.0,84,298.37,11,48942.167471090936,[-2.13348493]
2024-11-13,51184.0,85,299.19,11,51824.19004036319,[1.16655095]
2024-11-14,53847.0,84,300.28,11,54430.19228188371,[1.06268993]
2024-11-15,54021.0,95,299.45,11,53056.048526791215,[-1.75832954]
2024-11-16,52698.0,93,300.2,11,53211.40400027857,[0.93552209]
2024-11-17,52301.0,92,300.23,11,53211.40400027857,[1.65893342]
2024-11-18,50675.0,96,299.2,11,52648.42078029171,[3.59595705]
2024-11-19,50965.0,85,298.45,11,48942.167471090936,[-3.68599488]
2024-11-20,50976.0,86,298.59,11,51646.04273355721,[1.22094837]
2024-11-21,47427.0,82,298.79,11,48332.49813995892,[1.64999399]
2024-11-22,48676.0,81,298.53,11,48942.167471090936,[0.48500898]
2024-11-23,46990.0,81,298.6,11,48149.74110701644,[2.11327419]
2024-11-24,46557.0,85,298.82,11,51824.19004036319,[9.59784621]
2024-11-25,52659.0,85,299.22,11,53211.40400027857,[1.00658769]
2024-11-26,51637.0,85,299.48,11,53211.40400027857,[2.86887076]
2024-11-27,50315.0,84,299.17,11,50727.25869731083,[0.75121565]
2024-11-28,46854.0,78,298.3,11,46038.33805835949,[-1.48629493]
2024-11-29,41719.0,75,296.7,11,44326.819817348136,[4.75195567]
2024-11-30,37486.0,80,294.73,11,39803.36458526338,[4.22268966]
2024-12-01,38682.0,82,294.98,12,41710.577081174626,[5.51865736]
2024-12-02,41507.0,87,295.51,12,41343.72543248829,[-0.29751807]
2024-12-03,42195.0,84,296.99,12,45879.11345007255,[6.71317231]
